기간,Dubai,Brent,WTI
14년01월13일,691.95,713.61,613.67
14년01월14일,685.86,706.99,615.29
14년01월15일,683.10,713.19,626.91
14년01월16일,688.42,715.68,627.94
14년01월17일,688.18,712.75,631.68
14년01월20일,689.25,709.74,
14년01월21일,694.14,714.22,635.66
14년01월22일,695.74,724.73,647.48
14년01월23일,703.13,722.95,654.00
14년01월24일,702.06,727.34,651.56
14년01월27일,706.61,722.88,648.55
14년01월28일,707.94,732.42,664.23
14년01월29일,704.46,732.09,660.88
14년01월30일,704.40,732.77,666.79
14년01월31일,,722.25,661.77
14년02월03일,688.94,714.40,649.66
14년02월04일,694.17,720.04,661.56
14년02월05일,698.11,725.84,665.25
14년02월06일,696.51,727.81,664.33
14년02월07일,699.73,741.84,676.23
14년02월10일,710.92,734.59,676.63
14년02월11일,707.79,732.74,673.81
14년02월12일,709.27,733.55,676.77
14년02월13일,701.90,728.15,672.03
14년02월14일,703.18,729.94,671.19
14년02월17일,709.67,729.24,
14년02월18일,711.94,736.82,683.25
14년02월19일,715.09,739.38,691.46
14년02월20일,714.96,740.33,690.79
14년02월21일,718.51,740.62,689.05
14년02월24일,717.22,746.79,694.00
14년02월25일,719.90,741.36,689.37
14년02월26일,711.44,737.50,690.84
14년02월27일,710.31,733.25,689.11
14년02월28일,707.77,732.48,688.97
14년03월03일,719.25,745.74,703.62
14년03월04일,715.07,736.92,696.67
14년03월05일,710.28,726.60,684.05
14년03월06일,699.93,727.94,683.90
14년03월07일,700.32,731.81,688.71
14년03월10일,696.84,722.37,675.85
14년03월11일,698.67,727.76,670.64
14년03월12일,695.13,723.46,656.29
14년03월13일,700.36,722.21,660.41
14년03월14일,697.97,728.92,663.93
14년03월17일,705.70,716.35,661.33
14년03월18일,696.24,718.65,670.94
14년03월19일,694.54,710.99,674.18
14년03월20일,696.83,716.90,669.62
14년03월21일,704.76,723.16,672.70
14년03월24일,704.37,725.77,676.78
14년03월25일,706.35,726.59,673.62
14년03월26일,707.27,725.85,679.94
14년03월27일,703.48,729.11,684.82
14년03월28일,705.69,,686.05
14년03월31일,702.11,724.43,682.89
14년04월01일,698.13,708.25,668.82
14년04월02일,683.32,698.99,664.51
14년04월03일,673.42,705.73,666.77
14년04월04일,685.77,710.26,673.12
14년04월07일,679.95,702.94,667.20
14년04월08일,683.52,713.40,679.54
14년04월09일,689.81,715.59,686.56
14년04월10일,686.08,705.11,678.47
14년04월11일,678.55,699.40,676.00
14년04월14일,686.25,711.77,679.01
14년04월15일,688.48,710.57,677.96
14년04월16일,696.82,717.77,679.53
14년04월17일,693.22,717.39,683.13
14년04월21일,689.97,717.30,680.90
14년04월22일,694.02,713.35,666.73
14년04월23일,692.28,713.47,663.31
14년04월24일,691.36,721.38,666.52
14년04월25일,694.75,715.65,657.00
14년04월28일,692.80,706.52,658.95
14년04월29일,683.51,710.90,660.67
14년04월30일,678.07,701.30,647.24
14년05월01일,,699.29,645.16
14년05월02일,677.74,705.01,647.68
14년05월05일,680.08,699.36,645.87
14년05월06일,674.63,695.08,646.00
14년05월07일,671.90,701.35,653.61
14년05월08일,671.48,696.96,646.77
14년05월09일,675.89,694.56,643.71
14년05월12일,672.15,697.57,647.25
14년05월13일,,704.29,655.67
14년05월14일,679.87,708.96,658.64
14년05월15일,681.71,711.74,654.13
14년05월16일,678.39,708.61,658.70
14년05월19일,687.54,705.67,662.06
14년05월20일,682.64,705.60,658.96
14년05월21일,686.60,712.11,670.36
14년05월22일,690.60,712.69,669.94
14년05월23일,688.95,712.81,672.89
14년05월26일,687.18,710.76,
14년05월27일,687.88,708.55,670.49
14년05월28일,686.13,706.86,661.22
14년05월29일,683.92,707.33,666.23
14년05월30일,682.93,703.04,659.99
14년06월02일,677.76,698.49,657.67
14년06월03일,675.06,700.62,660.96
14년06월04일,678.02,697.92,660.83
14년06월05일,671.85,700.91,660.25
14년06월06일,678.48,699.75,661.41
14년06월09일,676.27,707.46,671.57
14년06월10일,672.95,700.86,667.77
14년06월11일,673.70,702.99,667.50
14년06월12일,683.87,722.61,681.12
14년06월13일,700.86,725.82,684.22
14년06월16일,699.67,723.17,684.49
14년06월17일,697.43,727.50,682.04
14년06월18일,706.79,734.57,681.27
14년06월19일,710.83,740.43,684.90
14년06월20일,709.29,735.36,687.00
14년06월23일,713.34,731.87,680.89
14년06월24일,703.08,733.19,679.19
14년06월25일,704.66,729.96,681.93
14년06월26일,705.44,726.75,679.44
14년06월27일,701.60,724.76,676.40
14년06월30일,697.32,716.91,672.31
14년07월01일,695.04,714.84,670.59
14년07월02일,694.71,707.94,664.92
14년07월03일,684.19,705.02,660.94
14년07월04일,685.51,702.59,
14년07월07일,679.96,699.57,656.99
14년07월08일,679.30,692.00,656.81
14년07월09일,674.90,688.70,650.60
