연도,시군구별,연료별,용도별,승용,승합,화물,특수,계
2015,은평구,휘발유(무연),비사업용,38715,36,22,0,38773
2015,은평구,휘발유(무연),사업용,42,0,0,0,42
2015,서대문구,CNG,비사업용,10,6,15,0,31
2015,서대문구,CNG,사업용,4,274,0,0,278
2015,서대문구,경유,비사업용,17466,2768,6169,40,26443
2015,서대문구,경유,사업용,25,116,1608,91,1840
2015,서대문구,기타연료,비사업용,3,17,31,1,52
2015,서대문구,기타연료,사업용,0,0,31,0,31
2015,서대문구,엘피지,비사업용,5164,782,786,0,6732
2015,서대문구,엘피지,사업용,2608,0,180,0,2788
2015,서대문구,전기,비사업용,12,0,0,0,12
2015,서대문구,하이브리드(LPG+전기),비사업용,54,0,0,0,54
2015,서대문구,하이브리드(경유+전기),비사업용,1,0,0,0,1
